word,part,n_senses,colour,colour_mismatch,stopword,freq_in_defs,n_reduplicated,definition,graphemes,graphemes_rev,graphemes_n,start,end,words_in_def,word_length,def_sj,def_k,def_e,def_i,def_a,def_hh,def_bu,def_p,def_q,def_cj,def_r,def_y,freq_group,colour_hex
aa,bu.,1,tan,0,1,53,0,bu. vh subteta vzt subtet kysi o vh subtate vzt subtat kysi deqhm. cxla ysi gega in sxgu z gega shlp. in vs ju buhhtes uxi beba.,aa,aa,1,aa,,26,2,,,,,,,vh subteta vzt subtet kysi o vh subtate vzt subtat kysi deqhm. cxla ysi gega in sxgu z gega shlp. in vs ju buhhtes uxi beba.,,,,,,>20,#D2B48C
aaosi,e.,1,green,0,0,1,0,e. taar in kauin hgasi dkdg deqhm.,aa o si,si o aa,3,aa,si,6,5,,,taar in kauin hgasi dkdg deqhm.,,,,,,,,,,0-1,#228B22
aappaa,sj.,1,blue,0,0,1,0,sj. yra lela. yra ja asj. kat yra o gta z ja ahk je hji.,aa pp aa,aa pp aa,3,aa,aa,14,6,yra lela. yra ja asj. kat yra o gta z ja ahk je hji.,,,,,,,,,,,,0-1,#6495ED
aayin,e.,1,green,0,0,0,0,e. aosiple taar je ji el je ishl am hji inasi.,aa y in,in y aa,3,aa,in,10,5,,,aosiple taar je ji el je ishl am hji inasi.,,,,,,,,,,0-1,#228B22
achai,e.,1,green,0,0,1,0,e. ahk kap gudde.,a ch ai,ai ch a,3,a,ai,3,5,,,ahk kap gudde.,,,,,,,,,,0-1,#228B22
achei,sj.,1,blue,0,0,2,0,sj. yra lqa o htu ykai z je yra ji oteb.,a ch ei,ei ch a,3,a,ei,10,5,yra lqa o htu ykai z je yra ji oteb.,,,,,,,,,,,,>1,#6495ED
afhjshf,e.,1,green,0,0,0,0,e. aappaa je axx. am olla. yra je kap axx. aokai je sxk ji.,a f hj sh f,f sh hj f a,5,a,f,13,7,,,aappaa je axx. am olla. yra je kap axx. aokai je sxk ji.,,,,,,,,,,0-1,#228B22
afsu,k.,1,purple,0,0,1,0,k. vh cjja ee vh cjje aisir rik.,a f su,su f a,3,a,su,7,4,,vh cjja ee vh cjje aisir rik.,,,,,,,,,,,0-1,#9370DB
aga,sj.,1,blue,0,0,1,0,sj. afsu f hucher.,a ga,ga a,2,a,ga,3,3,afsu f hucher.,,,,,,,,,,,,0-1,#6495ED
agappx,sj.,1,blue,0,0,2,0,sj. ewer z kytu. a kuuee.,a ga pp x,x pp ga a,4,a,x,4,6,ewer z kytu. a kuuee.,,,,,,,,,,,,>1,#6495ED
ahg,k.,1,purple,0,0,38,0,k. vk gudde aa shg dkdg.,a h g,g h a,3,a,g,5,3,,vk gudde aa shg dkdg.,,,,,,,,,,,>20,#9370DB
ahj,sj.,1,blue,0,0,3,0,sj. taar gudih kyin el shley. uku hucher hmt beba el shley.,a hj,hj a,2,a,hj,11,3,taar gudih kyin el shley. uku hucher hmt beba el shley.,,,,,,,,,,,,>1,#6495ED
ahk,k.,1,purple,0,0,135,0,k. ging dkdg vk kytu.,a h k,k h a,3,a,k,4,3,,ging dkdg vk kytu.,,,,,,,,,,,>20,#9370DB
ahsh,sj.,1,blue,0,0,1,0,sj. ahg kytu f sxresh.,a h sh,sh h a,3,a,sh,4,4,ahg kytu f sxresh.,,,,,,,,,,,,0-1,#6495ED
aibesj,sj.,1,blue,0,0,0,0,sj. lef jajije lpubel ash. gegagu z l uxi aie hji.,ai be sj,sj be ai,3,ai,sj,10,6,lef jajije lpubel ash. gegagu z l uxi aie hji.,,,,,,,,,,,,0-1,#6495ED
aidu,k.,1,purple,0,0,1,0,k. qah suba kadu am subb kap kadu.,ai du,du ai,2,ai,du,7,4,,qah suba kadu am subb kap kadu.,,,,,,,,,,,0-1,#9370DB
aie,sj.,1,blue,0,0,15,0,sj. dust ja je asj ee je ja asj o dust je giduh z ja yk dkdg ee ja giduh z je yk dkdg aa uxi kytu f kyv.,ai e,e ai,2,ai,e,28,3,dust ja je asj ee je ja asj o dust je giduh z ja yk dkdg ee ja giduh z je yk dkdg aa uxi kytu f kyv.,,,,,,,,,,,,>1,#6495ED
aige,e.,1,green,0,0,3,0,e. yra ahg.,ai ge,ge ai,2,ai,ge,2,4,,,yra ahg.,,,,,,,,,,>1,#228B22
aiger,i.,1,blue,0,0,0,0,i. ahg je atek kat yre ginger je ji.,ai ge r,r ge ai,3,ai,r,8,5,,,,ahg je atek kat yre ginger je ji.,,,,,,,,,0-1,#6495ED
aiguux,sj.,1,blue,0,0,8,0,sj. vh oraux qatub z gega bteb f eeluz.,ai gu ux,ux gu ai,3,ai,ux,8,6,vh oraux qatub z gega bteb f eeluz.,,,,,,,,,,,,>1,#6495ED
aiin,k.,1,purple,0,0,3,0,k. vk gudde aa thg dkdg f ging rak in dkdg.,ai in,in ai,2,ai,in,10,4,,vk gudde aa thg dkdg f ging rak in dkdg.,,,,,,,,,,,>1,#9370DB
aik,k.,1,purple,0,0,6,0,k. ju yra suba kadu o yra subb kadu.,ai k,k ai,2,ai,k,8,3,,ju yra suba kadu o yra subb kadu.,,,,,,,,,,,>1,#9370DB
aiok,k.,1,purple,0,0,1,0,k. vh uxaux yele vzt yra suba aiqr. yra aik.,ai o k,k o ai,3,ai,k,9,4,,vh uxaux yele vzt yra suba aiqr. yra aik.,,,,,,,,,,,0-1,#9370DB
aiqr,k.,1,purple,0,0,14,0,k. vh yre sjlup o vh uxauxf vzt beba.,ai qr,qr ai,2,ai,qr,8,4,,vh yre sjlup o vh uxauxf vzt beba.,,,,,,,,,,,>1,#9370DB
air,sj.,1,blue,0,0,3,0,sj. liliax z ja.,ai r,r ai,2,ai,r,3,3,liliax z ja.,,,,,,,,,,,,>1,#6495ED
airli,k.,1,purple,0,0,9,0,k. suba kytu aa subb kytu aa ehg kytu.,ai r li,li r ai,3,ai,li,8,5,,suba kytu aa subb kytu aa ehg kytu.,,,,,,,,,,,>1,#9370DB
airlx,k.,1,purple,0,0,5,0,k. suba kytu am subb hytu.,ai r l x,x l r ai,4,ai,x,5,5,,suba kytu am subb hytu.,,,,,,,,,,,>1,#9370DB
aish,sj.,1,blue,0,0,1,0,sj. qah z ju lela lela kadu.,ai sh,sh ai,2,ai,sh,6,4,qah z ju lela lela kadu.,,,,,,,,,,,,0-1,#6495ED
aisir,a.,1,green,0,0,1,0,a. asre deqhm.,ai si r,r si ai,3,ai,r,2,5,,,,,asre deqhm.,,,,,,,,0-1,#228B22
aitek,e.,1,green,0,0,0,0,e. hhk husj. oly hhk husj. thg atek. oly thg atek. aohz je je tji. aohz ahk je ulio.,ai te k,k te ai,3,ai,k,18,5,,,hhk husj. oly hhk husj. thg atek. oly thg atek. aohz je je tji. aohz ahk je ulio.,,,,,,,,,,0-1,#228B22
aitgutea,sj.,1,blue,0,0,1,0,sj. ahk yra gudde brye aozh alax ji. vk gudde irli atek aozh alex ji.,ai t gu te a,a te gu t ai,5,ai,a,14,8,ahk yra gudde brye aozh alax ji. vk gudde irli atek aozh alex ji.,,,,,,,,,,,,0-1,#6495ED
