word,word_trans,part,part_trans,n_senses,colour,colour_trans,colour_mismatch,stopword,freq_in_defs,n_reduplicated,definition,chars_untranslated,translated,graphemes,graphemes_rev,graphemes_n,start,end,words_in_def,word_length,def_sj,def_k,def_e,def_i,def_a,def_hh,def_bu,def_p,def_q,def_cj,def_r,def_y,freq_group,colour_hex,eng_def_sj,eng_def_k,eng_def_e,eng_def_i,eng_def_a,eng_def_hh,eng_def_bu,eng_def_p,eng_def_q,eng_def_cj,eng_def_r,eng_def_y
aa,,bu.,,1,tan,conjunction,0,1,53,0,bu. vh subteta vzt subtet kysi o vh subtate vzt subtat kysi deqhm. cxla ysi gega in sxgu z gega shlp. in vs ju buhhtes uxi beba.,48,bu. (at) (before) vzt (PAST) kysi o (at) (after) vzt (FUTURE) kysi (WORD). cxla (TWO) gega (or) sxgu z gega shlp. (or) (with) (add/mix) buhhtes uxi (begin).,aa,aa,1,aa,,26,2,,,,,,,vh subteta vzt subtet kysi o vh subtate vzt subtat kysi deqhm. cxla ysi gega in sxgu z gega shlp. in vs ju buhhtes uxi beba.,,,,,,>20,#D2B48C,,,,,,,(at) (before) vzt (PAST) kysi o (at) (after) vzt (FUTURE) kysi (WORD). cxla (TWO) gega (or) sxgu z gega shlp. (or) (with) (add/mix) buhhtes uxi (begin).,,,,,
aaosi,,e.,,1,green,adjective/determiner,0,0,1,0,e. taar in kauin hgasi dkdg deqhm.,19,e. taar (or) kauin hgasi dkdg (WORD).,aa o si,si o aa,3,aa,si,6,5,,,taar in kauin hgasi dkdg deqhm.,,,,,,,,,,0-1,#228B22,,,taar (or) kauin hgasi dkdg (WORD).,,,,,,,,,
aappaa,,sj.,,1,blue,NOUN,0,0,1,0,sj. yra lela. yra ja asj. kat yra o gta z ja ahk je hji.,16,sj. (that) (time). (that) (me) asj. kat (that) o gta z (me) ahk (you) (isn't).,aa pp aa,aa pp aa,3,aa,aa,14,6,yra lela. yra ja asj. kat yra o gta z ja ahk je hji.,,,,,,,,,,,,0-1,#6495ED,(that) (time). (that) (me) asj. kat (that) o gta z (me) ahk (you) (isn't).,,,,,,,,,,,
aayin,,e.,,1,green,adjective/determiner,0,0,0,0,e. aosiple taar je ji el je ishl am hji inasi.,25,e. aosiple taar (you) (is) el (you) ishl am (isn't) inasi.,aa y in,in y aa,3,aa,in,10,5,,,aosiple taar je ji el je ishl am hji inasi.,,,,,,,,,,0-1,#228B22,,,aosiple taar (you) (is) el (you) ishl am (isn't) inasi.,,,,,,,,,
achai,,e.,,1,green,adjective/determiner,0,0,1,0,e. ahk kap gudde.,9,e. ahk (not) gudde.,a ch ai,ai ch a,3,a,ai,3,5,,,ahk kap gudde.,,,,,,,,,,0-1,#228B22,,,ahk (not) gudde.,,,,,,,,,
achei,,sj.,,1,blue,NOUN,0,0,2,0,sj. yra lqa o htu ykai z je yra ji oteb.,18,sj. (that) lqa o htu ykai z (you) (that) (is) oteb.,a ch ei,ei ch a,3,a,ei,10,5,yra lqa o htu ykai z je yra ji oteb.,,,,,,,,,,,,>1,#6495ED,(that) lqa o htu ykai z (you) (that) (is) oteb.,,,,,,,,,,,
afhjshf,,e.,,1,green,adjective/determiner,0,0,0,0,e. aappaa je axx. am olla. yra je kap axx. aokai je sxk ji.,27,e. aappaa (you) axx. am olla. (that) (you) (not) axx. aokai (you) sxk (is).,a f hj sh f,f sh hj f a,5,a,f,13,7,,,aappaa je axx. am olla. yra je kap axx. aokai je sxk ji.,,,,,,,,,,0-1,#228B22,,,aappaa (you) axx. am olla. (that) (you) (not) axx. aokai (you) sxk (is).,,,,,,,,,
afsu,,k.,,1,purple,verb/adverb/article,0,0,1,0,k. vh cjja ee vh cjje aisir rik.,14,k. (at) cjja (AND) (at) cjje aisir (look/move).,a f su,su f a,3,a,su,7,4,,vh cjja ee vh cjje aisir rik.,,,,,,,,,,,0-1,#9370DB,,(at) cjja (AND) (at) cjje aisir (look/move).,,,,,,,,,,
aga,,sj.,,1,blue,NOUN,0,0,1,0,sj. afsu f hucher.,7,sj. afsu f (something/anything).,a ga,ga a,2,a,ga,3,3,afsu f hucher.,,,,,,,,,,,,0-1,#6495ED,afsu f (something/anything).,,,,,,,,,,,
agappx,,sj.,,1,blue,NOUN,0,0,2,0,sj. ewer z kytu. a kuuee.,17,sj. ewer z kytu. a kuuee.,a ga pp x,x pp ga a,4,a,x,4,6,ewer z kytu. a kuuee.,,,,,,,,,,,,>1,#6495ED,ewer z kytu. a kuuee.,,,,,,,,,,,
